,Date,IsHoliday,Dept,Weekly_Sales,Temperature,Fuel_Price,CPI,Unemployment,Super_Bowl,Labor_Day,Thanksgiving,Christmas,week,month,year
9097,2012-07-13,False,2.0,44411.95,77.12,3.256,221.9241579,6.908,False,False,False,False,28,7,2012
9171,2012-07-20,False,2.0,45108.22,80.42,3.311,221.9327267,6.908,False,False,False,False,29,7,2012
9276,2012-07-27,False,2.0,45008.22,82.66,3.407,221.9412954,6.908,False,False,False,False,30,7,2012
9358,2012-08-03,False,2.0,49424.06,86.11,3.417,221.9498642,6.908,False,False,False,False,31,8,2012
9414,2012-08-10,False,2.0,46729.91,85.05,3.494,221.9584329,6.908,False,False,False,False,32,8,2012
9467,2012-08-17,False,2.0,46350.97,84.85,3.571,222.0384109,6.908,False,False,False,False,33,8,2012
9548,2012-08-24,False,2.0,44972.52,77.66,3.62,222.1719457,6.908,False,False,False,False,34,8,2012
9604,2012-08-31,False,2.0,50995.5,80.49,3.638,222.3054805,6.908,False,False,False,False,35,8,2012
9721,2012-09-07,True,2.0,47344.5,83.96,3.73,222.4390153,6.908,False,True,False,False,36,9,2012
9793,2012-09-14,False,2.0,44493.61,74.97,3.717,222.5820193,6.908,False,False,False,False,37,9,2012
9868,2012-09-21,False,2.0,43541.07,69.87,3.721,222.7818386,6.908,False,False,False,False,38,9,2012
9921,2012-09-28,False,2.0,45784.76,76.08,3.666,222.9816579,6.908,False,False,False,False,39,9,2012
10002,2012-10-05,False,2.0,48577.08,68.55,3.617,223.1814772,6.573,False,False,False,False,40,10,2012
10062,2012-10-12,False,2.0,42112.67,62.99,3.601,223.3812965,6.573,False,False,False,False,41,10,2012
10103,2012-10-19,False,2.0,42354.72,67.97,3.594,223.4257233,6.573,False,False,False,False,42,10,2012
10176,2012-10-26,False,2.0,43134.88,69.16,3.506,223.4442513,6.573,False,False,False,False,43,10,2012
